Employee Name,Employee ID,Applicant Source,Status,CV Submission Date,CV Review,HR Interview Date,HR Interview,Hiring  Date,Manager Interview,Gender,Department,Job Type,Exit Date,Exit Type,Exit Reason,Years of Experience,Salary,Bonus,Last Performance Rating,Promotion Date,Training Hours Completed,Satisfaction Score,Engagement Score,Number of  Leaves
Glenn Reid,1f343232,Online Application,Hired,29-01-2022,Passed,14-05-2022,Passed,08-12-2022,Failed,Other,IT,Full-time,22-08-2021,Involuntary,Termination,27,56556,14870,3,25-08-2021,98,2,5,4
Juan Bell,0d042a49,Online Application,Hired,19-06-2023,Passed,23-11-2021,Failed,27-04-2020,Passed,Female,Finance,Part-time,,Involuntary,Personal Reasons,19,132199,14460,1,26-08-2021,55,4,4,13
Robert Reynolds,d64222c4,Agency,Hired,24-09-2021,Failed,31-08-2022,Passed,05-03-2023,Failed,Male,Sales,Part-time,13-12-2020,Involuntary,Layoff,25,115375,2438,4,27-08-2021,42,7,10,0
Jeffrey Schneider,208c380c,Internal,Hired,24-01-2022,Passed,06-01-2021,Failed,17-04-2020,Failed,Other,IT,Full-time,28-01-2022,Involuntary,Personal Reasons,11,88841,12827,5,28-08-2021,63,7,3,9
Angela Colon,1eb924f2,Agency,New hire,17-09-2023,Failed,11-12-2021,Failed,09-03-2024,Passed,Female,Finance,Contract,24-08-2020,Voluntary,Other,6,58726,7142,5,02-01-2023,157,5,10,12
Crystal Owen MD,8476e6fc,Agency,Hired,03-06-2022,Failed,01-08-2022,Failed,24-01-2024,Failed,Female,Operations,Full-time,24-08-2020,Involuntary,Other,20,76069,1416,1,14-05-2021,48,9,6,14
Lindsay James,bc3d2e85,Online Application,New hire,16-12-2020,Failed,01-07-2023,Passed,13-11-2021,Failed,Other,Finance,Full-time,,Involuntary,Other,28,55155,8222,1,15-05-2021,38,9,6,9
Samantha Elliott,f1205432,Agency,New hire,30-08-2023,Passed,17-02-2021,Failed,05-07-2022,Failed,Female,Operations,Part-time,,,Other,12,131126,13431,2,16-05-2021,125,10,5,14
Jeremy Hayes,1309543f,Internal,Hired,04-08-2021,Failed,16-06-2023,Passed,27-01-2020,Passed,Male,HR,Full-time,,Involuntary,Retirement,3,54074,13774,2,17-05-2021,116,5,1,0
Samuel Cook,b4730670,Internal,New hire,15-03-2020,Passed,09-08-2023,Failed,04-07-2023,Failed,Other,IT,Part-time,18-07-2020,Involuntary,,5,79868,15592,5,18-05-2021,135,9,2,5
Erin Carter,01645d84,Online Application,New hire,03-09-2024,Failed,15-08-2024,Failed,28-07-2023,Passed,Other,IT,Part-time,,Voluntary,,2,80922,8228,2,19-05-2021,114,1,1,0
Mary Bowen,574a87a8,Online Application,New hire,12-11-2023,Passed,07-01-2021,Passed,15-03-2024,Failed,Other,Marketing,Contract,,Voluntary,,23,104461,13219,4,20-05-2021,122,3,1,3
Jeffrey Molina,ec286e50,Internal,Hired,08-12-2021,Failed,11-05-2021,Passed,14-10-2021,Failed,Other,Marketing,Part-time,24-08-2020,Involuntary,Other,12,107900,9065,1,14-11-2022,65,8,8,12
Taylor Dunn,b3f6f747,Agency,Hired,21-05-2021,Passed,06-03-2021,Passed,20-01-2020,Failed,Female,HR,Full-time,02-08-2023,Involuntary,,11,49465,10673,5,15-11-2022,119,8,1,4
Shannon Hernandez,3f760b53,Online Application,Hired,19-05-2023,Failed,03-06-2023,Passed,14-01-2022,Passed,Other,Operations,Part-time,,Involuntary,Retirement,30,140782,19382,4,16-11-2022,80,7,2,15
Jerome Miller,19477e5b,Online Application,Hired,17-08-2022,Passed,22-09-2020,Failed,26-04-2022,Passed,Other,HR,Part-time,,Involuntary,,25,91146,7759,4,17-11-2022,101,3,9,4
Cody Bird,f7cc7a0e,Internal,Hired,05-07-2020,Failed,22-05-2022,Passed,26-01-2022,Failed,Male,Finance,Contract,,Voluntary,Termination,21,74500,16197,1,18-11-2022,67,8,6,10
Douglas Fletcher,fd2afe97,Online Application,Hired,30-01-2022,Passed,24-02-2022,Passed,20-06-2020,Passed,Female,Finance,Contract,30-01-2020,,Other,25,58212,15748,3,19-11-2022,10,9,10,4
Kimberly Hodge,6467f332,Online Application,Hired,23-12-2021,Passed,13-12-2022,Passed,28-12-2022,Failed,Female,Finance,Full-time,06-10-2023,Involuntary,Personal Reasons,7,140400,18174,1,08-11-2023,106,9,2,13
George Hunt,e0582eee,Internal,Hired,31-07-2023,Failed,06-11-2022,Failed,25-07-2024,Passed,Male,Sales,Full-time,28-09-2023,Voluntary,Retirement,8,117103,5576,5,,102,10,9,4
Stephanie Wheeler,9897ec6d,Agency,Hired,05-05-2021,Passed,23-07-2023,Failed,04-06-2021,Passed,Male,Sales,Full-time,,Voluntary,Personal Reasons,9,147844,16142,1,,105,3,7,7
Philip Nichols,625e44ae,Agency,New hire,21-07-2022,Passed,12-06-2022,Passed,17-08-2020,Passed,Male,Sales,Contract,,Involuntary,Layoff,16,139573,8571,1,,147,10,6,15
Kelly Brady,47fdf833,Internal,Hired,19-11-2022,Passed,11-12-2020,Passed,30-09-2020,Passed,Male,Operations,Contract,,Voluntary,,15,40681,9326,4,23-10-2020,139,1,8,0
Joshua Bush,6cb0ff41,Internal,New hire,26-11-2021,Passed,22-03-2020,Passed,26-09-2023,Passed,Other,IT,Contract,,Involuntary,Layoff,24,49878,14727,1,,185,5,2,0
Melissa Garcia,6ebf5e2d,Internal,New hire,24-03-2024,Passed,05-03-2024,Passed,03-09-2021,Failed,Female,Finance,Full-time,13-03-2023,Voluntary,Layoff,20,55121,17686,2,25-06-2022,117,2,1,10
Cynthia Valdez,6dd8e7ff,Internal,New hire,20-02-2020,Passed,08-09-2020,Failed,26-05-2020,Passed,Female,Operations,Full-time,,Voluntary,Termination,21,50313,13213,2,26-06-2022,47,7,10,4
Brittney Ware,bd2d296b,Agency,Hired,27-09-2022,Failed,25-12-2022,Passed,07-02-2023,Passed,Male,HR,Contract,16-09-2020,Voluntary,Other,3,95048,7414,3,27-06-2022,131,5,5,0
Brandon Moore,2a14484a,Internal,Hired,30-08-2022,Passed,26-02-2020,Failed,23-03-2022,Passed,Other,Operations,Full-time,15-12-2022,Involuntary,Layoff,28,112121,12189,1,28-06-2022,174,5,2,10
Michele Allen,e9f7a07e,Internal,Hired,05-11-2021,Failed,20-03-2021,Failed,13-10-2023,Failed,Male,Sales,Part-time,,Involuntary,,15,134503,18938,4,29-06-2022,31,4,6,7
Joseph Hensley,5d3532cd,Online Application,New hire,30-08-2020,Failed,03-05-2024,Passed,20-02-2024,Passed,Male,Marketing,Contract,,Voluntary,Personal Reasons,12,132522,16639,4,30-06-2022,100,8,10,15
James Kline,0d7eb54c,Internal,Hired,30-03-2021,Failed,18-05-2023,Passed,23-01-2023,Failed,Male,Finance,Part-time,,,Layoff,6,127746,12868,1,,37,7,3,6
Juan Morris,458b0b1a,Agency,Hired,26-11-2023,Failed,17-05-2021,Failed,31-10-2023,Passed,Other,Sales,Part-time,,Voluntary,Other,9,142815,7741,2,06-05-2023,33,3,8,11
Jasmine Fischer,20cd8c9e,Agency,Hired,12-09-2021,Failed,31-03-2022,Failed,24-05-2021,Failed,Male,HR,Contract,09-09-2022,Involuntary,,26,138797,12453,2,07-05-2023,103,3,2,4
Adam Bush,24cea2eb,Internal,Hired,16-05-2020,Failed,10-04-2023,Passed,14-07-2020,Failed,Other,Operations,Part-time,,Voluntary,Personal Reasons,12,71473,11494,4,08-05-2023,62,3,10,13
Randall Smith,ff4accc9,Internal,Hired,24-03-2023,Passed,19-06-2021,Passed,13-11-2022,Passed,Male,Sales,Contract,,Voluntary,,14,107563,15871,4,09-05-2023,39,9,2,3
Emily Gilmore,a7c3dd33,Internal,Hired,29-07-2021,Passed,10-08-2024,Passed,26-08-2020,Failed,Other,Sales,Full-time,24-08-2024,Voluntary,Other,2,148069,5839,3,10-05-2023,132,5,5,5
Tammy Wright,135fab2c,Agency,Hired,21-07-2023,Failed,30-05-2021,Passed,11-06-2024,Failed,Female,HR,Full-time,,,Termination,7,86889,18876,5,11-05-2023,112,3,6,8
Crystal Williams,bf807f84,Internal,Hired,05-02-2024,Passed,10-06-2020,Failed,26-07-2023,Failed,Female,Finance,Full-time,,Involuntary,,24,65563,18482,3,12-05-2023,69,5,2,10
Jeff Reed,105076f7,Internal,Hired,15-10-2023,Passed,17-02-2020,Failed,13-03-2024,Passed,Male,Finance,Part-time,,Voluntary,Layoff,9,108641,8699,5,13-05-2023,72,4,4,5
Jason Heath,8314d4bf,Agency,Hired,24-04-2020,Passed,05-03-2023,Passed,25-01-2020,Failed,Female,Marketing,Part-time,,Voluntary,Termination,12,52784,7414,5,14-05-2023,175,2,8,12
Jennifer Johnson,5732997a,Internal,Hired,28-04-2022,Failed,27-01-2021,Failed,23-12-2020,Failed,Other,Sales,Full-time,,,Termination,10,81511,13269,4,15-05-2023,48,1,3,12
Maria Alvarez,beb0f9a1,Agency,New hire,22-05-2020,Failed,04-06-2024,Failed,01-07-2020,Failed,Male,Finance,Part-time,20-01-2021,Voluntary,,3,123035,8355,2,,190,7,7,12
Christian Singh,a99b6632,Online Application,Hired,13-11-2023,Failed,13-07-2022,Passed,29-07-2023,Passed,Male,Marketing,Contract,,Involuntary,Other,12,101409,13398,2,,3,10,6,4
Sherri Waters,6f02e68c,Internal,Hired,18-05-2021,Passed,10-12-2020,Failed,29-02-2020,Failed,Female,IT,Full-time,14-02-2023,Involuntary,Retirement,24,140918,7323,5,30-07-2023,10,4,8,15
Christina Forbes,2d6879d5,Agency,Hired,04-04-2023,Failed,02-03-2023,Passed,10-10-2021,Failed,Other,IT,Full-time,28-06-2021,Involuntary,Other,9,145745,10614,2,,174,5,8,11
Christopher Richards,3a5eba23,Agency,Hired,17-05-2023,Failed,26-08-2022,Passed,19-07-2020,Passed,Female,Finance,Full-time,,Involuntary,,16,62454,1431,5,24-10-2022,157,9,4,10
Julie Valenzuela MD,ae4cfb61,Agency,New hire,12-03-2024,Failed,13-02-2023,Passed,19-02-2022,Failed,Male,HR,Contract,31-05-2022,Involuntary,,13,123889,19321,3,25-10-2022,52,6,1,10
Kristina Dalton,b36e30e3,Agency,Hired,31-10-2021,Passed,13-02-2023,Passed,05-01-2020,Failed,Female,Finance,Full-time,05-07-2022,Involuntary,Other,24,64473,13305,5,26-10-2022,85,2,10,6
Lee Flores,b6d94d8a,Internal,Hired,10-08-2020,Failed,24-11-2020,Failed,16-04-2020,Failed,Female,Operations,Part-time,,Voluntary,,7,109188,3105,1,27-10-2022,46,8,4,2
Stacey Salinas,01c0ecd2,Internal,Hired,18-10-2021,Failed,14-06-2020,Failed,19-06-2024,Passed,Male,Finance,Full-time,10-10-2023,,Termination,27,115806,5242,5,28-10-2022,21,9,9,11
Michael King,81e450d5,Internal,Hired,17-10-2022,Passed,16-06-2024,Failed,15-05-2023,Passed,Other,IT,Full-time,,Involuntary,Termination,15,44658,11389,5,29-10-2022,154,4,10,13
Michael Jones,17c81741,Agency,Hired,25-04-2021,Failed,19-02-2020,Passed,20-12-2021,Passed,Female,Sales,Full-time,,Involuntary,Layoff,1,108303,5930,2,30-10-2022,171,8,1,0
Thomas Jackson,abf1cfe1,Agency,Hired,19-10-2022,Passed,06-02-2020,Passed,31-01-2020,Passed,Female,Finance,Full-time,,Voluntary,Other,7,105160,13935,4,25-08-2020,57,10,7,4
Michael Jones,843c1a50,Agency,Hired,27-05-2021,Passed,14-01-2022,Passed,09-04-2020,Failed,Other,Finance,Contract,,Voluntary,Layoff,15,48796,11382,2,,149,7,1,9
Ann Park,d8fa29a4,Agency,New hire,03-08-2023,Failed,25-09-2020,Failed,25-06-2021,Passed,Male,Sales,Contract,,Involuntary,,10,88230,8696,5,14-01-2020,36,1,10,2
Valerie Jackson,4beebeeb,Online Application,Hired,17-02-2021,Failed,16-06-2022,Passed,08-12-2021,Failed,Female,Operations,Contract,06-12-2021,Voluntary,,26,129362,15429,5,21-01-2020,34,6,4,15
Rhonda Rose,1559a863,Internal,Hired,18-12-2021,Failed,29-07-2022,Passed,08-04-2021,Passed,Male,HR,Full-time,,Voluntary,Personal Reasons,28,138415,17662,3,,191,5,3,7
Jeffrey Huff,3bc7ed6f,Internal,Hired,18-12-2021,Failed,01-02-2022,Passed,13-05-2023,Passed,Male,IT,Part-time,06-12-2021,,Retirement,1,81826,6512,4,01-07-2023,37,8,8,13
Austin Church,941c8492,Internal,Hired,25-10-2020,Passed,23-05-2024,Failed,09-10-2021,Passed,Female,Operations,Part-time,06-12-2021,Voluntary,Retirement,3,105896,11429,4,18-02-2022,1,2,8,2
Walter Braun,6b03faff,Agency,New hire,12-02-2023,Passed,26-09-2020,Passed,24-12-2022,Passed,Female,HR,Contract,19-09-2023,,Layoff,15,90961,8003,4,,191,9,7,0
Ryan Jacobs,29ee9c51,Online Application,New hire,27-07-2021,Failed,12-08-2020,Passed,30-03-2024,Passed,Other,Sales,Part-time,06-12-2021,Voluntary,Retirement,7,58525,17361,1,29-10-2020,24,4,5,7
Daniel Garcia,b5752dd5,Agency,Hired,24-05-2024,Failed,06-08-2023,Passed,24-08-2023,Passed,Other,HR,Contract,10-07-2020,Involuntary,,22,85114,14847,2,,113,5,1,9
Maria Le,5e4c611c,Internal,Hired,01-01-2021,Passed,09-05-2024,Passed,24-09-2022,Failed,Female,HR,Contract,,Involuntary,Termination,27,145415,9372,1,03-01-2022,6,1,2,8
Gregory Stewart,0e6fddb8,Agency,Hired,29-04-2023,Passed,12-02-2020,Passed,15-11-2021,Failed,Male,IT,Full-time,30-06-2024,Involuntary,Layoff,10,146297,12150,3,,2,10,2,11
Susan Owen,6384327b,Agency,Hired,04-01-2023,Passed,10-05-2023,Failed,25-02-2022,Passed,Female,Marketing,Part-time,01-12-2021,Involuntary,Retirement,23,66917,12676,5,10-11-2021,162,10,6,10
Mrs. Gail Hoffman,4050dec6,Internal,New hire,19-09-2022,Passed,19-11-2021,Failed,18-12-2022,Failed,Male,IT,Part-time,15-06-2021,Involuntary,Retirement,12,48473,1863,2,01-04-2021,183,4,2,4
Philip Rivera,27bf39a7,Agency,Hired,20-10-2022,Passed,12-07-2024,Passed,27-02-2022,Passed,Female,IT,Contract,,,Other,28,120379,14751,1,14-11-2020,185,2,10,1
Lori Mclaughlin,2cd0a428,Internal,New hire,30-06-2020,Passed,29-01-2020,Passed,10-01-2022,Passed,Female,Finance,Full-time,16-04-2024,Involuntary,Termination,17,59962,14668,3,15-11-2020,47,8,8,4
Paula Evans,41863405,Agency,Hired,14-04-2022,Failed,17-04-2022,Passed,11-03-2020,Failed,Other,HR,Full-time,,Voluntary,Other,10,130120,10405,2,16-11-2020,151,10,7,13
Alicia Brown,6f52b784,Internal,Hired,07-06-2023,Failed,01-08-2023,Passed,29-01-2021,Passed,Male,Marketing,Part-time,,Involuntary,Retirement,20,63038,11105,5,17-11-2020,185,8,5,8
Martha Schroeder,cabc5a7c,Online Application,New hire,18-03-2024,Passed,08-05-2021,Passed,01-04-2024,Failed,Other,Sales,Contract,17-06-2024,,Layoff,25,62099,5172,3,18-11-2020,125,9,4,1
Alexandria Smith,ad2906f7,Internal,Hired,13-01-2024,Failed,23-01-2020,Passed,01-08-2024,Passed,Female,IT,Part-time,15-06-2021,Involuntary,Personal Reasons,13,57142,17135,4,19-11-2020,46,4,10,11
Steven Gilbert,78487ed1,Online Application,Hired,24-04-2021,Passed,04-06-2021,Passed,05-02-2023,Failed,Female,Sales,Contract,08-07-2022,,Retirement,30,97265,6110,1,,84,6,7,11
Kayla Williams,1a624c2e,Online Application,Hired,29-08-2023,Passed,11-11-2022,Failed,14-04-2020,Failed,Male,Finance,Contract,15-06-2021,Involuntary,Retirement,12,147585,2947,3,18-02-2020,185,10,5,3
Susan Cook DDS,b0d35c36,Internal,New hire,22-05-2023,Failed,07-07-2020,Passed,08-12-2023,Passed,Female,Sales,Full-time,15-06-2021,Involuntary,Personal Reasons,22,147437,8793,5,05-03-2021,194,5,1,11
Michael Powers,ba9f4748,Internal,Hired,01-08-2020,Failed,14-01-2020,Passed,11-05-2021,Failed,Male,Marketing,Contract,15-06-2021,Voluntary,Layoff,23,98688,4820,4,12-08-2023,178,4,1,12
Jacob Stewart,b0315ec8,Agency,Hired,19-01-2022,Passed,30-11-2020,Passed,10-11-2022,Passed,Male,Finance,Part-time,,Involuntary,,12,124715,12644,3,13-08-2023,63,3,7,1
Joshua West,a426d212,Internal,Hired,19-06-2024,Passed,22-09-2023,Failed,17-03-2022,Failed,Male,Sales,Full-time,,Voluntary,Layoff,13,100870,19947,1,14-08-2023,186,7,10,7
Matthew Cruz,2cd73f7f,Online Application,New hire,12-04-2023,Failed,12-07-2021,Failed,04-01-2020,Passed,Female,IT,Part-time,,Voluntary,Layoff,25,132906,7305,4,15-08-2023,54,9,8,10
Austin Reed,e1a1bc54,Agency,New hire,13-09-2022,Passed,07-01-2020,Failed,20-07-2024,Failed,Other,Marketing,Contract,,Voluntary,Other,6,140232,16247,3,16-08-2023,26,5,3,2
David May,31a00890,Internal,New hire,29-11-2023,Passed,25-04-2022,Failed,19-04-2021,Failed,Male,IT,Contract,,Involuntary,Layoff,5,97980,16377,4,06-11-2023,91,8,4,9
Deborah Moore,8186eb74,Online Application,Hired,15-11-2021,Failed,26-05-2020,Failed,05-09-2024,Passed,Other,Marketing,Part-time,,Involuntary,,3,93956,10352,4,,52,4,5,1
Veronica Richardson,f96788f8,Online Application,Hired,27-02-2020,Passed,12-01-2021,Passed,03-03-2023,Passed,Male,HR,Part-time,15-02-2021,Involuntary,Layoff,17,127351,9003,4,05-05-2024,192,7,10,11
Christian White PhD,e91f133d,Online Application,New hire,15-08-2023,Passed,08-03-2020,Failed,18-10-2023,Passed,Female,Operations,Full-time,,Involuntary,Personal Reasons,26,44096,16636,3,08-05-2023,34,6,7,11
Tamara Thomas,4bf7586e,Internal,Hired,21-02-2022,Passed,14-06-2023,Failed,17-07-2024,Failed,Other,HR,Contract,22-08-2022,Voluntary,Termination,2,131815,5253,1,,3,10,6,15
Eric Giles,ecdb4401,Online Application,Hired,23-12-2021,Failed,27-10-2023,Failed,21-06-2023,Failed,Other,Sales,Part-time,,Involuntary,Layoff,29,56095,19790,4,27-07-2022,48,5,9,0
Lisa Li,26e0d0aa,Online Application,New hire,06-10-2020,Passed,21-09-2023,Passed,21-07-2022,Failed,Female,Finance,Contract,,,Personal Reasons,3,79664,11170,3,28-07-2022,156,6,9,8
Brandon Williams,d70906aa,Online Application,Hired,22-09-2020,Passed,14-04-2022,Failed,26-10-2023,Failed,Other,Operations,Full-time,,Involuntary,,23,101673,2091,5,29-07-2022,76,5,7,13
Jessica Cunningham,a796f9ff,Agency,New hire,27-07-2021,Passed,22-09-2021,Failed,26-04-2022,Failed,Male,Finance,Part-time,,Voluntary,Other,26,107878,18770,1,30-07-2022,154,10,9,3
Derrick Gill,6bfebf0d,Agency,New hire,23-10-2023,Passed,26-12-2021,Failed,15-05-2021,Passed,Male,Finance,Full-time,,,Other,1,40674,12219,3,31-07-2022,150,7,6,5
Vincent Cook,eafce076,Agency,Hired,10-02-2024,Failed,10-04-2022,Failed,28-03-2021,Failed,Other,Marketing,Part-time,,Involuntary,Other,29,46223,10576,5,01-08-2022,109,10,8,5
Tina Tate,c020972c,Online Application,New hire,02-12-2023,Passed,31-07-2021,Passed,13-11-2021,Passed,Other,Operations,Full-time,,Involuntary,Other,8,77367,13610,2,,144,6,2,12
Tammy Cole,daea9b01,Online Application,Hired,31-05-2020,Passed,31-10-2023,Failed,13-10-2021,Failed,Female,Sales,Part-time,,,Termination,3,101134,18140,2,,74,7,6,8
Samantha Alexander,2bacb148,Online Application,Hired,19-05-2024,Passed,19-07-2024,Passed,19-11-2022,Failed,Other,HR,Part-time,25-03-2023,,Other,5,131994,17395,4,26-01-2023,8,2,6,11
Renee Gonzalez,5743723,Internal,Hired,09-07-2021,Failed,20-07-2024,Passed,12-04-2024,Failed,Female,IT,Part-time,29-09-2022,,Termination,17,47835,9229,3,27-01-2023,193,10,9,7
Mark Pugh,30408cc0,Online Application,Hired,10-06-2020,Failed,06-08-2022,Failed,15-06-2024,Passed,Other,Finance,Contract,25-03-2020,,,8,135568,5243,4,28-01-2023,122,7,10,7
Tyler Snow,1dca7e92,Online Application,Hired,13-03-2024,Failed,17-04-2021,Failed,30-03-2022,Passed,Male,Sales,Full-time,,Voluntary,,9,70073,12599,1,29-01-2023,153,2,1,14
David Perez,9c12cac6,Internal,Hired,31-01-2021,Passed,23-03-2020,Failed,06-06-2021,Passed,Male,IT,Part-time,,,Termination,4,70548,2598,3,30-01-2023,174,10,2,15
Raymond Bryant,7ecd6a02,Online Application,Hired,25-07-2022,Passed,13-04-2023,Passed,08-06-2024,Passed,Female,Finance,Full-time,,Voluntary,Other,19,57173,8981,5,31-01-2023,2,2,1,11
Michael Baker,6b3e8dd7,Internal,Hired,02-08-2020,Passed,04-07-2024,Passed,26-03-2023,Passed,Other,Operations,Full-time,06-02-2022,Involuntary,Personal Reasons,16,65715,19969,1,01-02-2023,59,6,3,13
Anthony Brooks,10e91dea,Agency,Hired,10-06-2024,Failed,29-04-2022,Passed,01-02-2021,Passed,Male,Sales,Full-time,,Voluntary,Layoff,19,40920,1226,2,,25,8,2,13
Sean Johnson,73dd1ec7,Internal,New hire,02-08-2020,Passed,01-01-2022,Passed,27-05-2022,Passed,Other,Finance,Contract,,,,26,66002,6341,2,,12,9,7,11
Mr. Jordan Jones,184abccc,Agency,Hired,02-04-2022,Passed,07-02-2022,Passed,15-03-2023,Failed,Female,Marketing,Contract,26-02-2020,Voluntary,,5,80498,14490,1,,50,5,5,3
Laurie Smith,908d1fdf,Agency,Hired,22-04-2024,Passed,01-06-2023,Passed,12-02-2023,Passed,Other,Sales,Part-time,,Involuntary,Layoff,14,87019,4224,3,,180,4,6,14
Courtney Powers,c5a650e0,Agency,New hire,26-03-2021,Failed,13-11-2021,Failed,04-01-2024,Failed,Other,HR,Full-time,,Involuntary,Retirement,17,95006,5229,2,27-08-2021,155,5,4,8
Pamela Park,1ae8cb0c,Agency,New hire,04-10-2022,Failed,24-03-2020,Passed,29-01-2024,Failed,Male,IT,Full-time,17-01-2022,Involuntary,Retirement,25,118635,8867,4,28-08-2021,143,4,9,6
Sara Flowers,3.93E+05,Agency,Hired,14-07-2022,Failed,11-10-2022,Passed,23-10-2022,Passed,Other,Marketing,Contract,22-10-2022,Voluntary,,22,143315,13143,5,29-08-2021,102,7,7,14
Charlene Johnston,766c1a24,Online Application,Hired,18-09-2023,Failed,26-08-2022,Passed,14-06-2021,Passed,Other,IT,Full-time,,Involuntary,Other,21,133098,7870,4,,132,7,10,4
Allison Aguirre,0ac3d962,Online Application,Hired,02-04-2023,Failed,20-03-2021,Passed,17-01-2023,Passed,Other,Marketing,Part-time,,Voluntary,Other,5,52195,15866,1,18-07-2020,28,1,2,13
Matthew Cole,833d89b1,Online Application,Hired,03-10-2021,Failed,03-11-2023,Failed,05-02-2020,Failed,Other,Sales,Contract,,Voluntary,,21,115950,1711,3,,71,5,2,0
Jeremy Smith,d62d9fab,Agency,New hire,09-10-2022,Passed,27-08-2022,Passed,26-02-2020,Passed,Female,IT,Part-time,,Voluntary,Personal Reasons,2,55611,12053,4,,46,10,1,2
Jason White,100a5ba9,Agency,New hire,13-03-2023,Passed,29-08-2020,Failed,23-06-2022,Passed,Other,HR,Full-time,04-09-2021,Involuntary,Termination,13,52489,7499,5,,80,10,6,6
Chloe Grimes,002c60cb,Agency,Hired,11-04-2024,Passed,22-03-2022,Failed,01-06-2023,Passed,Other,Finance,Contract,,Involuntary,Layoff,24,141346,17763,1,,78,7,8,7
Kyle Thompson,89f2fbb0,Internal,Hired,03-09-2024,Passed,18-03-2023,Failed,09-06-2023,Passed,Female,Sales,Part-time,23-03-2024,Voluntary,Termination,8,149762,4704,2,13-11-2023,58,9,9,14
Cheryl Baker,24f7bc79,Online Application,New hire,28-06-2020,Passed,27-01-2021,Passed,11-07-2024,Failed,Other,IT,Full-time,13-04-2020,Involuntary,Retirement,23,85315,15765,1,,187,10,5,5
Michaela Strong,4dd065b0,Internal,Hired,05-08-2020,Passed,02-02-2022,Passed,18-09-2020,Passed,Male,Sales,Part-time,19-01-2021,Voluntary,Personal Reasons,15,123660,18124,5,26-10-2022,111,1,2,1
Aaron Rivas,ecb0e785,Agency,New hire,16-04-2024,Failed,27-04-2021,Failed,16-02-2023,Failed,Female,Operations,Contract,,Involuntary,Other,3,57631,16794,2,,60,9,1,7
Laura Ramirez,849218b5,Internal,Hired,07-01-2024,Passed,18-05-2023,Failed,29-05-2023,Passed,Male,Operations,Part-time,19-01-2021,Involuntary,,22,103816,10574,3,12-06-2020,199,9,9,2
Todd Hernandez,b958dfcf,Internal,Hired,15-05-2024,Passed,06-05-2022,Failed,01-01-2022,Failed,Female,IT,Contract,03-10-2022,Involuntary,Retirement,15,128350,15102,1,13-06-2020,109,4,2,12
Michelle Kaufman,bcf0891a,Agency,New hire,23-12-2022,Passed,03-10-2022,Failed,05-06-2020,Failed,Other,Marketing,Part-time,,Voluntary,Termination,10,53884,15317,3,14-06-2020,55,2,5,0
Michael Garcia,0c091f76,Internal,Hired,28-05-2022,Passed,25-04-2021,Failed,30-07-2021,Passed,Female,Marketing,Part-time,,Involuntary,Termination,23,44200,6629,3,15-06-2020,166,9,7,15
Kara Morris,0b000f40,Agency,Hired,11-01-2024,Passed,04-12-2023,Passed,30-12-2020,Failed,Male,Finance,Part-time,,Voluntary,Personal Reasons,21,72737,3816,4,16-06-2020,161,3,2,14
Justin Thompson,06d36fb4,Internal,Hired,03-07-2023,Failed,24-09-2022,Passed,14-03-2021,Passed,Female,Marketing,Contract,,Involuntary,Personal Reasons,4,130865,5512,2,17-06-2020,108,5,10,1
Justin Silva,49502f67,Internal,Hired,28-12-2020,Passed,22-04-2023,Failed,25-07-2020,Failed,Other,Operations,Full-time,,Involuntary,Retirement,5,59628,9679,1,,16,5,4,1
William King,418bdcb4,Agency,Hired,10-07-2024,Failed,03-05-2022,Failed,17-06-2021,Failed,Other,IT,Contract,19-01-2021,Involuntary,Other,11,77860,15900,5,07-05-2020,178,8,3,0
Judith Blake,9004f7b8,Online Application,New hire,21-03-2020,Passed,11-05-2024,Failed,02-04-2023,Passed,Other,HR,Contract,01-06-2022,,Layoff,13,55807,19648,2,,181,7,9,11
Elizabeth Gonzalez,9b1c5fa0,Internal,New hire,10-11-2021,Passed,26-04-2022,Passed,07-05-2023,Passed,Female,HR,Full-time,,,Other,5,134753,11378,5,,126,2,1,3
Kim Edwards,77dea9b3,Agency,Hired,01-12-2021,Passed,16-01-2021,Failed,04-12-2020,Failed,Other,HR,Contract,,Voluntary,Other,11,73481,19583,3,28-03-2021,33,8,6,1
Theresa Molina,8641d5488,Internal,Hired,10-02-2024,Failed,14-12-2020,Passed,09-03-2023,Failed,Other,Sales,Contract,09-02-2023,Voluntary,Termination,17,118728,9436,2,29-03-2021,62,10,3,6
Gail Walton,603fe057,Online Application,Hired,18-06-2021,Passed,02-11-2023,Failed,17-04-2024,Passed,Other,Finance,Full-time,03-11-2022,Involuntary,,16,63218,4615,3,30-03-2021,52,3,4,4
Lawrence Holmes,033176d3,Agency,Hired,28-04-2021,Passed,10-08-2022,Failed,03-11-2022,Failed,Other,Operations,Full-time,,Involuntary,,3,98785,7651,4,31-03-2021,29,6,2,10
Miss Megan Sosa,e56d88e9,Online Application,Hired,16-04-2021,Passed,25-10-2023,Passed,23-05-2020,Failed,Female,Operations,Contract,08-04-2024,Voluntary,,12,78461,14141,4,01-04-2021,78,3,3,10
Kaitlin Shields,94f612e9,Agency,New hire,01-05-2022,Failed,25-11-2022,Failed,04-02-2022,Passed,Other,IT,Part-time,,,Other,18,112004,9328,4,02-04-2021,148,10,7,7
